shopping cart
hanging from cart
basket weave
plastic material
organic goods
carrying action
supermarket shelf
store display
sturdy bottom
handle grip
full to brim
cotton lining
metal frame
bright colors
circular base
textured rim
empty interior
reflected light
open top
compact size
flat bottom
soft lining
printed design
woven pattern
hanging straps
solid base
rectangular frame
transparent side
vintage style
symmetrical form
slightly curved edge
minimalist aesthetic
imperfect stitching
grassy surface
basket rim
large compartment
plastic weave
collapsible frame
filled capacity
woven sides
compact storage
hanging loop
arching handle
printed surface
patterned edges
hand-painted finish
non-slip grip
bamboo slats
flexible shape
dotted fabric
