scaly skin
slithering motion
thin tail
sunlit camouflaging
twisting form
mimicking surroundings
predatory stance
sharp fangs
curved body
head raised
burrowing action
hidden in sand
light brown pattern
rapid escape
sunbaked ground
sheathed scales
undulating path
flat head
dry vegetation
quick movements
desert environment
wavy lines
dune shadows
sandy texture
natural camouflage
coiled position
glistening scales
sharp contrasts
dune crests
curved patterns
desert breeze
sandy ridges
buried texture
creeping shadows
soft focus
organic shapes
sharp edges
sand grains
green patches
smooth surface
rocky terrain
scattered pebbles
dark shadows
warm colors
light reflection
flight trajectory
floral contrasts
distant horizon
sunset glow
sandy fringe
