launch escape system
service module
payload bay
nasa logo
wing structure
landing gear
vertical stabilizer
thruster plume
tail fin
pad countdown
fuselage texture
orbiter bay
cargo hold
heat shield
descent trajectory
support tower
cockpit window
engine nozzle
contact light
fuel tank
sensors array
nose cone
space launch
cargo deployment
tail section
exhaust trails
transport vehicle
flat cockpit
white exterior
dome shape
ground crew
landing stripes
composite materials
cruciform shape
black canopy
glossy finish
tapered edges
vehicle silhouette
engine bells
orange tank
metal joints
black tiles
safety harness
rpm gauge
spacecraft assembly
multiple boosters
launch crew
powerful thrust
lander deployment
launch controls
