manta ray
soft fins
underwater habitat
long tail
swimming motion
shallow water
graceful glide
flat body
ocean floor
rocky substrate
curved edges
small eyes
smooth skin
hidden camouflaged
dark coloration
tropical surroundings
flesh-like texture
open mouth
ocean currents
dappled light
predatory stance
spotted pattern
sand texture
translucent tail
fin texture
marine camouflage
pale underside
silky mantle
stealthy hover
hovering pose
elegant motion
darting escape
luminous shadows
quick dart
water ripples
glistening surface
sandy backdrop
sand displacement
turbid visibility
gentle waves
curved contours
soft edges
muddy sediment
thin cartilage
bright sunlight
nocturnal setting
mottled ground
dark silhouette
marine predator
creviced bottom
