measuring time
chronograph feature
alarm function
black hour mark
digital display
elegant finish
wrist strap
time lapse
sleek design
red minute hand
precision engineering
ticking sound
metal casing
vintage style
running track
reset knob
stop button
competing athlete
rubber grip
gym workout
modern aesthetic
circular face
backlit numbers
smooth edges
glass crystal
round dial
angled view
metallic strap
user interface
counting laps
digital readout
clock hands
wrist mount
hanging loop
sports context
battery compartment
polished chrome
bold typography
tension spring
color gradient
grip texture
plastic buttons
white face
light reflection
bezel ring
timer countdown
compact size
speed accuracy
measure distance
retro display
