moving injured
emergency use
rescue operation
wheeled base
airborne transport
medical context
first aid supply
cross beam
supportive structure
hospital equipment
safety straps
sturdy construction
durable fabric
roadside assistance
curved edges
metal frame
outdoor setting
folded canvas
bright colors
backboard design
rigid support
linear stretch
four-wheel base
wheeled dolly
carrying ropes
lumbar support
multiple straps
adjustable height
heavy-duty fabric
collapsable frame
sturdy grip
water-resistant tarp
padding layers
ventilated mesh
reinforced seams
supportive handles
compact storage
folded edges
secure fasteners
quick-release buckle
bright stripes
colorful design
flat base
unfolded state
fixed support
extended length
compact design
non-slip surface
strapped edges
open frame
