long tail
river habitat
pointed snout
scaly skin
smooth fins
bright scales
lateral line
sharp dorsal
feeding behavior
silvery sheen
muddy bottom
tranquil depths
barbed whiskers
seagrass surroundings
glistening water
natural camouflage
swimming motion
oversized eyes
hovering stance
flat belly
mystical aura
swirling currents
bumpy texture
dark patterns
jagged fins
rounded snout
fishing line
shallow waters
pale underside
rough scales
soft underbelly
grayish hue
floating debris
gentle currents
muddy banks
faint ripples
slender body
gliding motion
aquatic vegetation
swirling sediment
dark sand
bubbling surface
hidden crevices
pebble bed
underwater shadows
submerged rocks
dappled sunlight
broad snout
delicate fins
sharp angles
