hooded garment
pullover design
athletic look
casual fit
comfortable layer
wearable warmth
oversized style
unisex style
streetwear vibe
embroidered logo
front pocket
banded hem
fleece texture
soft lining
fashionable print
folded collar
detailed stitching
cinched waist
draped fabric
vibrant colors
elastic cuffs
sweater material
crew neck
sleeve length
casual aesthetic
cuffed sleeve
solid color
back view
pocket detail
rugged seams
draped neckline
hanging display
active movement
spacious fit
detailed hem
simple silhouette
urban backdrop
patterns and prints
flat lay
layered textures
body contour
neutral tones
loose fit
cuffed design
lightweight feel
zipper detail
side slit
short sleeves
cheerful contrast
wide neckline
