circuit breaker
electrical connectors
indicator light
toggle lever
control joystick
wall-mounted panel
plastic casing
sliding mechanism
safety cover
cord hooks
glowing button
control surface
flickering lamp
round knob
mechanical arm
colored wires
screwed plate
hard plastic
indentation groove
rubber grip
angle bracket
shift lever
silicone cover
pivot point
flat surface
smooth edge
metal shaft
rectangular cutout
rusty hinge
brightly colored
angular frame
translucent panel
wooden base
circular disc
textured strip
twisted metal
flexible strap
polyester ribbon
dual action
soft button
heavy duty
embedded circuit
pulsing light
hinged cover
thin prong
attached label
compressed spring
hollow casing
angled bracket
metal arm
