gills exposed
muddy substrate
finned tail
pond surface
still waters
submerged habitat
slimy scales
greenish body
soft belly
lateral line
oval shape
small eyes
floating debris
bent whiskers
camouflaged colors
bubbles rising
sunlight reflections
swimming motion
smooth texture
mossy rocks
fluctuating shadows
underwater plants
sandy bottom
golden hue
shallow depths
natural habitat
dark markings
natural camouflage
translucent fins
bright highlights
aquatic vegetation
reflective body
shimmering scales
floating algae
smooth contours
gentle currents
slimy surface
ambient light
rounded form
bending reeds
mottled pattern
silhouetted outline
serene backdrop
soft surroundings
delicate motions
rocky terrain
swirling sand
dark fins
shimmering depths
mossy patches
