theatrical display
velvet drapes
ambient lighting
darkened ambiance
bright spotlight
fringed edges
dramatic folds
gleaming hooks
heavy panels
crimson shade
sliding motion
pleated fabric
rich burgundy
folded corners
curved silhouettes
ceremonial ropes
golden tassels
decorative patterns
rustic ties
draped corners
dim atmosphere
expansive view
light diffusion
soft folds
hanging fabric
tensioned fabric
deep shadows
opened gap
golden light
curved edge
color gradient
swaying movement
silken texture
cascading layers
reflective surface
faded colors
subtle hues
caught breeze
intricate stitching
hidden figures
rolling waves
heavy drape
bright contrast
cotton panels
curving fold
faded corners
fabric clump
frayed edge
symmetrical pattern
linear crease
