forked tongue
coiled body
slithering motion
wiggling tail
scaly skin
camouflaged appearance
quick reflexes
dark scale
swift strike
sharp fangs
hidden burrow
sandy ground
threatening pose
dense underbrush
open mouth
lush habitat
yellow stripes
wet grass
lightning pattern
rocky terrain
tree roots
green foliage
dappled sunlight
shadowy silhouette
smooth scales
twisting path
darting movement
rough terrain
forest floor
curved silhouette
tangled roots
muddy ground
plant textures
low vegetation
damp soil
soft grass
jungle mist
bright eyes
shimmering light
vibrant patterns
dark shadows
sunlit clearing
cracked earth
sunlit rocks
thin scales
twisted body
slippery surface
hidden crevice
dark underbelly
bumpy terrain
