scorching heat
small flame
carrying handle
long reach
wooden grip
bright tip
flickering light
flame flicker
splash of color
thermal insulation
safety cap
metal body
handheld device
thick smoke
metallic shine
round bulb
black shadow
outdoor camping
rusty edges
illuminated path
nighttime visibility
patchy texture
casting shadows
long shaft
large opening
bright beam
glowing tip
cylindrical shape
compact size
smooth finish
durable material
reflective shine
suspension loop
tight seal
thick casing
rubber coating
textured grip
reinforced structure
weatherproof design
sturdy base
narrow end
color accents
angled surface
metal clip
control button
worn edges
battery compartment
fiery tip
dynamic flame
circular flame
