tractor unit
heavy duty
flatbed design
large wheels
truck headlights
cargo bed
towing hitch
fifth wheel
long chassis
extended cab
road trip context
side mirrors
wheel well
air brakes
load securing straps
suspension system
chrome bumper
safety reflectors
tail lights
front grille
underbody lights
rear gate
red paint
heavy load
wide tires
driving position
raised cab
cargo straps
cargo area
high exhaust
sharp angles
vinyl graphics
road barriers
airstream design
reflective tape
side panel
safety cones
mud flaps
metal frame
painted surface
urban setting
lanes markers
dirt road
overhead lights
side steps
long trailer
freight capacity
fifth axle
wide fenders
overhead clearance
