typewriting motion
mechanical click
key arrangement
keyboard array
stylized lettering
old-fashioned finish
vintage style
circular keys
keycap texture
functional layout
sliding carriage
raised symbols
paper tray
color contrast
ink ribbon
textured buttons
colorful keys
plastic casing
metal frame
flat surface
satin finish
finger placement
letter alignment
tab key
keypad layout
key lever
lettering detail
character spacing
tight mechanism
wooden keys
brass accents
front panel
mechanical parts
key depressions
rounded corners
sturdy frame
worn edges
ink stains
smooth finish
sleek outline
inked ribbon
removable base
carriage return
plastic housing
adjustable feet
colorful cap
typewritten pages
key spacing
mechanical sounds
font styles
