basking lizard
long tail
natural camouflage
creeping posture
sharp claws
scaly skin
desert habitat
shaded underbrush
vigilant stance
tail whip
dry terrain
hiding in foliage
quick movement
thin body
green scales
flicking tongue
sunny rocks
ground level perspective
dappled sunlight
overhanging branches
sand texture
vibrant colors
scattered stones
coiled position
hidden crevice
sinuous movement
soft soil
exposed roots
leaf litter
sunlit ground
rustic bark
leafy thicket
sandy surface
jagged stones
flat rock
vibrant moss
grassy edges
twisted branches
desert backdrop
sun-drenched path
dark shadows
scattered pebbles
distant hills
sandy substrate
soft underfoot
burrow entrance
open terrain
slender limbs
twisted roots
vertical stalks
