glass bottle
barrel shape
ceramic surface
smooth spout
etched design
shiny finish
rustic appearance
brown liquid
dark amber
short neck
curved handle
round belly
vintage style
heavy base
wooden cork
warm lighting
craftsmanship details
label sticker
golden hue
liquid splash
thin rim
frosted glass
crafted spout
miniature version
filled container
cork stopper
round base
wide mouth
short body
oval profile
etched logo
pouring angle
thick glass
tapered shape
rich color
filling action
cloudy fluid
tabletop setting
ambient light
beveled edges
textured grip
static display
tall silhouette
angular design
dark shadow
metal band
discolored glaze
sturdy lid
artisan glaze
handmade clay
